CustomerID,Email,Name,BirthDate,PhoneNumber,Password,BuildingName,BuildingNumber,Street,City,Country,Postcode
CUST001,jacqueline23@galvan.com,Kristin Moore,1980/9/6,6449952561,qW28yUYg+a,Suite 487,5685,Dawn Gateway,Deannaville,Tuvalu,75236
CUST002,nwoodard@yahoo.com,John Travis,1950/12/17,1847644981,*j)Z7QRlA7,Apt. 293,84,Ricardo Tunnel,Barronchester,Jamaica,82708
CUST003,fergusonbryan@yahoo.com,Julia Barr,1954/1/27,7869556833,%ZcgEtff0g,Suite 133,659,Davis Ridge,Taylorfurt,Faroe Islands,1248
CUST004,alyssa71@hotmail.com,Ronald Summers,1960/9/22,2585712032,!9XAAQfd&9,Apt. 558,65550,Berry Point,Paigehaven,Gabon,11782
CUST005,vcoffey@gmail.com,Matthew Davis,1955/6/17,1782433095,NAg3Urb5+u,Apt. 422,40970,Sarah Plains,Rhondaton,Guam,5893
CUST006,navarrorichard@gmail.com,Christopher Jackson,1970/1/29,1284648010,#G^ECLh2!6,Suite 202,711,Rodney Point,South Allisonfort,United States of America,75271
CUST007,suzanne29@hotmail.com,Victor Perez,1996/9/9,4604580300,+8H71Bczj(,Apt. 216,8142,Rodriguez River,Brittanyhaven,Congo,36631
CUST008,dominiquemontoya@jones-morgan.net,Lisa Khan,1976/12/3,5004957084,)8%kP0CeXt,Suite 411,5990,Derek Dale,North Dawn,Mexico,32728
CUST009,kara57@gmail.com,Jordan Bentley,1991/7/30,7587770933,rq+2YFjw#H,Apt. 054,81516,James Extensions,Lake Maria,Saint Kitts and Nevis,97606
CUST010,stevensaustin@yahoo.com,Kelly Hobbs,1991/3/13,4422226650,t&1zDvzG%m,Apt. 882,9855,Knight Mills,West Charlesville,Slovenia,13154
CUST011,michelle49@hotmail.com,Melissa Patton,1957/7/30,9927891656,p$daD4E77x,Suite 726,752,Judith Knoll,Jasonside,Somalia,98236
CUST012,charles24@hotmail.com,Dennis Farley,1952/10/23,2987593626,L_9o1RYi0h,Suite 443,80941,Diana Junction,Elizabethville,Azerbaijan,96898
CUST013,kgraves@yahoo.com,Renee Rodriguez,1976/9/10,2129065656,3eB!lo#V^q,Apt. 144,87042,Christopher Spurs,Catherineton,Chile,79520
CUST014,gutierrezsteven@chandler.info,Christy Holmes,1978/5/13,6460591327,nN95_!Zig_,Suite 800,99316,Michael Radial,Castanedaburgh,United States Virgin Islands,25550
CUST015,smithjoanna@collins.net,Jean Wood,2006/7/9,9081963316,@2rxD!tAw%,Suite 952,5114,Stewart Land,South Jacqueline,Rwanda,53291
CUST016,henrybrooke@hotmail.com,Allen Garcia,1979/3/14,6826547151,*DAS3W+m67,Suite 854,55401,Jennifer Shores,New Shelby,Sao Tome and Principe,57200
CUST017,gharris@gonzalez.org,Aaron Wyatt,1988/9/6,2291028000,o9z9_Am6$w,Apt. 961,818,Sampson Island,Mitchelltown,Uganda,18920
CUST018,johnmoore@gmail.com,Tyler Brown,1962/2/1,9746579302,#8b2ZDwN3D,Suite 347,183,Alexander Extension,Lake Ashley,Iran,1688
CUST019,sarah74@santos-fisher.info,Monica Smith,1992/1/29,5112685040,l$6kTHFzvo,Apt. 883,167,Mckenzie Prairie,New Scott,Mauritius,10724
CUST020,mathisleah@gmail.com,Kristina Reid,1964/12/14,6760237440,9V48G0zw%2,Suite 329,71770,Monica Mill,Robertborough,Saint Helena,81519
CUST021,wayne62@yahoo.com,Shawn Flores,1986/7/16,8842166265,7*q6X^jgtX,Suite 662,8206,Patricia Mission,Jonathanchester,Christmas Island,87500
CUST022,lisa12@hotmail.com,Stephen Wright,2001/4/19,7550941712,eZQES8Ri!7,Apt. 611,2353,Henry Manors,Port Gabrielachester,Guernsey,95232
CUST023,bradley16@gmail.com,Robert Bryant,1946/2/3,8116917912,^W8JetDIw&,Suite 077,15097,Smith Bypass,Kristiland,Nepal,1134
CUST024,andersonchristopher@gmail.com,Sharon Miranda,1949/1/1,9829753451,_p7Gf*YqJe,Suite 344,73335,Eric Isle,Griffinside,Andorra,63815
CUST025,rebeccastevens@figueroa.org,Tyler Dorsey,1964/8/21,6199461638,TP()7Hhvv9,Apt. 025,161,Paula Port,Hendersonhaven,American Samoa,39918
CUST026,wyattpayne@manning-lane.com,Lindsay Cummings,1978/6/29,2929816580,iaq&8PybUE,Apt. 124,53824,Kristen Rue,Angelafort,Saint Barthelemy,54536
CUST027,bfernandez@chung.com,Christopher Smith,1982/11/26,756931655,V1P0q66l%N,Suite 086,747,Daniel Hills,Christineview,Saint Pierre and Miquelon,74263
CUST028,tonyarogers@hotmail.com,William Flores,1984/8/14,2087059884,$1UHQEkNDd,Apt. 254,1330,Vaughan Dam,West Monica,Holy See (Vatican City State),87691
CUST029,charper@roberts-farley.com,John Montoya,1980/11/1,237775293,tWN2U+)sm!,Suite 664,53293,Sanders Rapid,Kochtown,Guadeloupe,20465
CUST030,adamjennings@davis-pruitt.com,Wendy Simon,1959/5/31,3077090781,r2BqHl27_2,Suite 537,927,Nelson Parkway,Dustinborough,Western Sahara,87623
CUST031,mullensarah@yahoo.com,Monique Lopez,1961/5/3,4510803045,O%(x7ZGy$O,Suite 061,2985,Carrie Groves,Lawsonville,Mexico,90671
CUST032,normaoconnor@banks-holt.com,Elizabeth Saunders,1945/10/10,7486865702,#b2CSq#L@S,Suite 363,5167,Linda Turnpike,Amandaport,Venezuela,73424
CUST033,yarnold@mccullough.com,Karen Hall,1958/1/18,9515631174,g2@mC3QQ_S,Apt. 499,9196,David Mountain,Jennifershire,Senegal,34484
CUST034,youngdaniel@contreras.com,Emily Dillon,1991/3/10,6105170988,%SU2Vr#CZ#,Suite 931,218,Anna Spring,Lake Julianhaven,Portugal,66630
CUST035,bensonmichael@hotmail.com,Jason Sellers,1978/3/24,4261149737,&0qva5Lv73,Apt. 866,7088,Smith Village,Lake Carrie,Iraq,92946
CUST036,christinedavis@yahoo.com,Mark Blair,1975/3/5,6779379390,^0CiPUqux3,Apt. 358,44405,Fields Square,North Jeffreyland,South Africa,91732
CUST037,hgibson@hotmail.com,Eric Hahn,1983/2/28,5978967858,$GySr7Zryi,Suite 997,18076,Lauren River,Lake Christian,Indonesia,1277
CUST038,olsonanna@chavez.org,Angela Meyer,2004/1/22,3452873217,w^sD%HTp&8,Suite 835,453,Kerri Loaf,Mooreshire,Puerto Rico,37863
CUST039,amandaramos@gmail.com,Lance Williams,1965/11/16,5572236205,M$Vj%8Rua+,Suite 943,5066,Amber Unions,Walterburgh,Saint Pierre and Miquelon,33172
CUST040,sandovalnathan@gmail.com,Michael Singh,1957/7/20,8944198402,vmGe*aL7*4,Apt. 136,88469,Luis Rapid,Lake Amystad,Cambodia,77985
CUST041,castillozachary@smith-matthews.com,Kyle Cruz,2003/12/12,2474646921,Z_HJKWiS)2,Apt. 547,202,Walters Cove,Port Jason,Mozambique,18463
CUST042,uthompson@sanford-chambers.com,Sandra Cunningham,1947/1/31,829880969,MhLZ^Ynu_8,Apt. 771,435,Ellis Cape,Smithchester,Maldives,73575
CUST043,hramirez@gmail.com,Rachel Scott,1965/5/23,2782148766,!B5#RCi85Y,Suite 687,7685,Anderson Wells,Smithborough,Guinea,45058
CUST044,hensonyolanda@morris-saunders.com,Patrick Gonzalez,1959/9/16,4021083764,k%7Gz)Mqz@,Suite 233,8281,Nicholas Ferry,Port Parkerhaven,Libyan Arab Jamahiriya,15336
CUST045,stevensuarez@carter.com,Madison Li,1970/12/2,8616751380,@A6$PbY@L7,Apt. 765,343,Salinas Route,Nancytown,Western Sahara,15486
CUST046,sarahrodriguez@morgan.com,Claire Harper MD,1969/7/22,5778526617,*p%I9jSvkM,Apt. 083,5802,Warner Brook,Murillomouth,Guinea,66405
CUST047,veronicasmith@roberts.com,Raymond Lyons,1956/5/11,1399279420,Z5an!FdQ+p,Suite 660,498,Laura Street,Ronaldfurt,Bolivia,2160
CUST048,matthewfitzgerald@gmail.com,Nicholas Weaver,1948/1/14,9863504217,%2Sl+NOpG%,Suite 251,9675,Hunter Lake,South Ryan,Monaco,72596
CUST049,vangeric@gmail.com,Richard Jackson,1987/8/21,3274112619,QY#8HqSgo$,Apt. 866,2834,Swanson Run,Davistown,Algeria,60645
CUST050,whiteadriana@yahoo.com,Christina Taylor,2002/5/20,7554875099,*g^nQQgMS7,Apt. 792,39759,Robert Ramp,Rebeccastad,Kazakhstan,97654
