OrderID,OrderDate,Discount,GrandTotal,PaymentMethodID,TotalAmount,CustomerEmail
ORD4641,2024-08-28,18.45,288.42,PM1273,306.87,jacqueline23@galvan.com
ORD1651,2024-07-24,9.35,954.11,PM1273,963.46,jacqueline23@galvan.com
ORD9989,2024-03-07,17.35,611.51,PM5028,628.86,jacqueline23@galvan.com
ORD5531,2024-02-06,15.84,1212.25,PM3289,1228.09,nwoodard@yahoo.com
ORD2020,2024-09-29,9.02,488.66,PM3289,497.68,nwoodard@yahoo.com
ORD9061,2024-02-25,5.07,1461.8600000000001,PM3062,1466.93,fergusonbryan@yahoo.com
ORD5789,2024-03-22,13.24,1179.53,PM2839,1192.77,alyssa71@hotmail.com
ORD1309,2024-03-21,15.2,1081.3899999999999,PM5308,1096.59,vcoffey@gmail.com
ORD1391,2024-02-14,5.81,111.07,PM3497,116.88,navarrorichard@gmail.com
ORD6422,2024-02-08,16.65,2876.85,PM5902,2893.5,navarrorichard@gmail.com
ORD3425,2024-02-01,8.05,124.98,PM3497,133.03,navarrorichard@gmail.com
ORD8815,2024-10-16,18.03,115.02000000000001,PM5328,133.05,suzanne29@hotmail.com
ORD5746,2024-08-17,17.16,755.61,PM5328,772.77,suzanne29@hotmail.com
ORD4077,2024-08-20,14.15,496.81,PM6253,510.96,dominiquemontoya@jones-morgan.net
ORD2837,2024-02-28,10.78,206.72,PM5338,217.5,kara57@gmail.com
ORD5806,2024-01-22,18.05,131.17,PM5745,149.22,stevensaustin@yahoo.com
ORD1529,2024-04-16,18.94,117.6,PM5745,136.54,stevensaustin@yahoo.com
ORD6404,2023-11-21,10.73,2041.2800000000002,PM5745,2052.01,stevensaustin@yahoo.com
ORD8329,2024-07-02,16.7,819.8499999999999,PM6679,836.55,michelle49@hotmail.com
ORD5102,2023-11-11,17.85,3148.9500000000003,PM5078,3166.8,charles24@hotmail.com
ORD3130,2024-05-08,14.19,533.3299999999999,PM5511,547.52,charles24@hotmail.com
ORD7907,2024-08-11,7.57,665.7299999999999,PM5078,673.3,charles24@hotmail.com
ORD6839,2024-05-09,17.56,465.35,PM1548,482.91,kgraves@yahoo.com
ORD1064,2024-08-09,13.0,1344.17,PM1548,1357.17,kgraves@yahoo.com
ORD6004,2024-09-17,9.45,893.41,PM6670,902.86,gutierrezsteven@chandler.info
ORD1680,2024-03-02,10.1,272.71999999999997,PM2007,282.82,smithjoanna@collins.net
ORD5755,2024-09-07,18.46,577.68,PM7763,596.14,henrybrooke@hotmail.com
ORD8758,2024-04-29,8.73,80.16,PM7763,88.89,henrybrooke@hotmail.com
ORD8275,2024-05-12,5.34,936.7099999999999,PM5626,942.05,gharris@gonzalez.org
ORD8897,2024-05-15,15.06,222.15,PM5626,237.21,gharris@gonzalez.org
ORD2838,2024-07-31,7.89,262.44,PM3718,270.33,johnmoore@gmail.com
ORD5760,2024-04-27,7.62,507.6,PM7314,515.22,sarah74@santos-fisher.info
ORD9354,2024-03-20,17.36,132.45999999999998,PM8803,149.82,sarah74@santos-fisher.info
ORD6127,2023-11-27,9.15,114.69,PM5135,123.84,mathisleah@gmail.com
ORD6030,2024-01-21,19.98,3533.52,PM5135,3553.5,mathisleah@gmail.com
ORD9569,2024-08-30,10.19,531.79,PM5135,541.98,mathisleah@gmail.com
